Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Quarter,Is_Year_End,Economic_Index
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1,0,26.041988428324697
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1,0,26.059976535899334
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1,0,26.065771391561807
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,1,0,26.06953403651616
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1,0,26.073296681470516
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,1,0,26.07705932642487
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,1,0,26.056703059462127
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,1,0,26.032326967678266
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,2,0,27.000569915471313
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,2,0,26.97526349897541
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,2,0,26.958081454918034
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,2,0,26.951731915983608
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,2,0,26.945382377049178
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,2,0,26.939032838114755
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,2,0,26.93870723616803
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,2,0,26.974525281762293
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,2,0,27.01034331454918
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,2,0,27.046161347336067
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,2,0,27.08197939293033
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,2,0,27.081681851946723
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,2,0,27.066938089139345
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,3,0,27.12514874791319
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,3,0,27.110365224091435
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,3,0,27.109334198022346
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,3,0,27.12663982278156
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,3,0,27.143945447540776
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,3,0,27.161251072299986
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,3,0,27.178556709901116
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,3,0,27.17392619750867
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,3,0,27.169295697958134
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,3,0,27.164665198407604
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,3,0,27.160034698857068
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,37,3,0,27.163536612302554
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,38,3,0,27.173137870810326
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,39,4,0,27.005867504465424
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,40,4,0,27.015406277111506
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,41,4,0,27.02395299821383
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,42,4,0,27.030019609594284
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,43,4,0,27.036086220974738
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,44,4,1,27.042152832355193
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,45,4,1,27.048219443735647
